Name,Age,Education,Skills,Interests,Recommended_Career
Candidate 114,26,Bachelor's,"javascript, node.js, express, css","web development, creative coding",Full Stack Developer
Candidate 115,32,Master's,"deep learning, tensorflow, mathematics, pytorch","research, artificial intelligence",AI Researcher
Candidate 116,35,Master's,"aws, kubernetes, monitoring tools, docker","cloud technologies, infrastructure automation",DevOps Engineer
Candidate 117,38,Bachelor's,"model deployment, python, tensorflow, scikit-learn","machine learning, predictive analytics",Machine Learning Engineer
Candidate 118,26,PhD,"cloud security, aws, azure, networking","enterprise systems, cloud infrastructure",Cloud Architect
Candidate 119,22,Bachelor's,"aws, docker, linux, ci, cd","infrastructure automation, cloud technologies",DevOps Engineer
Candidate 120,33,PhD,"node.js, react, mongodb, express","web development, creative coding",Full Stack Developer
Candidate 121,39,Bachelor's,"android, dart, java, react native","mobile development, ux, ui design",Mobile App Developer
Candidate 122,37,Master's,"statistics, python, sql, data visualization","ai, data science",Data Scientist
Candidate 123,33,PhD,"python, ml pipelines, model deployment, tensorflow","predictive analytics, machine learning",Machine Learning Engineer
Candidate 124,33,PhD,"algorithms, rest apis, git, java","software development, tech innovation",Software Engineer
Candidate 125,27,Master's,"aws, docker, kubernetes, ci, cd","cloud technologies, infrastructure automation",DevOps Engineer
Candidate 126,25,Bachelor's,"etl, data warehousing, spark, big data","database management, big data",Data Engineer
Candidate 127,32,Bachelor's,"scikit-learn, model deployment, ml pipelines, tensorflow","predictive analytics, machine learning",Machine Learning Engineer
Candidate 128,31,PhD,"flutter, react native, android, dart","ux, ui design, mobile development",Mobile App Developer
Candidate 129,26,Master's,"statistics, pandas, data visualization, machine learning","data science, ai",Data Scientist
Candidate 130,31,Master's,"etl, python, big data, sql","database management, big data",Data Engineer
Candidate 131,25,Master's,"siem, firewalls, network security, python","ethical hacking, cybersecurity",Cybersecurity Analyst
Candidate 132,35,PhD,"scikit-learn, ml pipelines, model deployment, tensorflow","machine learning, predictive analytics",Machine Learning Engineer
Candidate 133,32,PhD,"flutter, java, react native, ios","ux, ui design, mobile development",Mobile App Developer
Candidate 134,31,Bachelor's,"neural networks, deep learning, pytorch, tensorflow","artificial intelligence, research",AI Researcher
Candidate 135,28,Master's,"etl, data warehousing, sql, big data","database management, big data",Data Engineer
Candidate 136,27,Bachelor's,"tensorflow, python, model deployment, ml pipelines","machine learning, predictive analytics",Machine Learning Engineer
Candidate 137,34,Bachelor's,"mongodb, css, javascript, react","creative coding, web development",Full Stack Developer
Candidate 138,34,Master's,"tensorflow, model deployment, python, scikit-learn","predictive analytics, machine learning",Machine Learning Engineer
Candidate 139,25,Bachelor's,"linux, kubernetes, ci, cd, docker","cloud technologies, infrastructure automation",DevOps Engineer
Candidate 140,29,PhD,"devops, aws, terraform, azure","cloud infrastructure, enterprise systems",Cloud Architect
Candidate 141,22,Bachelor's,"network security, python, linux, penetration testing","cybersecurity, ethical hacking",Cybersecurity Analyst
Candidate 142,32,Bachelor's,"python, network security, penetration testing, firewalls","ethical hacking, cybersecurity",Cybersecurity Analyst
Candidate 143,28,Bachelor's,"mongodb, javascript, react, css","web development, creative coding",Full Stack Developer
Candidate 144,30,PhD,"express, node.js, mongodb, css","creative coding, web development",Full Stack Developer
Candidate 145,40,PhD,"azure, cloud security, networking, terraform","enterprise systems, cloud infrastructure",Cloud Architect
Candidate 146,28,Master's,"ml pipelines, model deployment, scikit-learn, python","machine learning, predictive analytics",Machine Learning Engineer
Candidate 147,27,Master's,"ml pipelines, model deployment, scikit-learn, tensorflow","predictive analytics, machine learning",Machine Learning Engineer
Candidate 148,25,Master's,"java, flutter, ios, android","mobile development, ux, ui design",Mobile App Developer
Candidate 149,33,Master's,"c++, python, rest apis, git","software development, tech innovation",Software Engineer
Candidate 150,34,Bachelor's,"linux, siem, penetration testing, python","ethical hacking, cybersecurity",Cybersecurity Analyst
Candidate 151,35,Master's,"javascript, express, css, react","web development, creative coding",Full Stack Developer
Candidate 152,25,PhD,"python, tensorflow, ml pipelines, model deployment","machine learning, predictive analytics",Machine Learning Engineer
Candidate 153,34,Bachelor's,"pytorch, tensorflow, deep learning, neural networks","research, artificial intelligence",AI Researcher
Candidate 154,37,PhD,"penetration testing, siem, python, linux","ethical hacking, cybersecurity",Cybersecurity Analyst
Candidate 155,31,Bachelor's,"networking, terraform, aws, azure","enterprise systems, cloud infrastructure",Cloud Architect
Candidate 156,29,Master's,"linux, aws, monitoring tools, docker","cloud technologies, infrastructure automation",DevOps Engineer
Candidate 157,22,Bachelor's,"sql, big data, spark, data warehousing","database management, big data",Data Engineer
Candidate 158,34,Master's,"penetration testing, network security, siem, firewalls","ethical hacking, cybersecurity",Cybersecurity Analyst
Candidate 159,30,PhD,"aws, cloud security, azure, devops","enterprise systems, cloud infrastructure",Cloud Architect
Candidate 160,25,Bachelor's,"dart, android, java, ios","mobile development, ux, ui design",Mobile App Developer
Candidate 161,25,Master's,"neural networks, mathematics, tensorflow, pytorch","research, artificial intelligence",AI Researcher
Candidate 162,37,PhD,"python, data visualization, sql, pandas","data science, ai",Data Scientist
Candidate 163,32,Master's,"sql, python, big data, etl","big data, database management",Data Engineer
Candidate 164,32,PhD,"mongodb, html, express, node.js","web development, creative coding",Full Stack Developer
Candidate 165,40,Bachelor's,"dart, react native, flutter, java","ux, ui design, mobile development",Mobile App Developer
Candidate 166,25,Bachelor's,"cloud security, azure, devops, aws","cloud infrastructure, enterprise systems",Cloud Architect
Candidate 167,30,Bachelor's,"mongodb, node.js, react, css","creative coding, web development",Full Stack Developer
Candidate 168,38,PhD,"linux, firewalls, siem, penetration testing","cybersecurity, ethical hacking",Cybersecurity Analyst
Candidate 169,30,PhD,"html, node.js, react, mongodb","web development, creative coding",Full Stack Developer
Candidate 170,33,Bachelor's,"devops, cloud security, azure, aws","cloud infrastructure, enterprise systems",Cloud Architect
Candidate 171,28,Bachelor's,"java, flutter, ios, dart","ux, ui design, mobile development",Mobile App Developer
Candidate 172,23,Master's,"big data, data warehousing, spark, etl","big data, database management",Data Engineer
Candidate 173,28,PhD,"spark, sql, python, etl","big data, database management",Data Engineer
Candidate 174,23,Master's,"data warehousing, spark, big data, etl","big data, database management",Data Engineer
Candidate 175,38,PhD,"siem, firewalls, network security, python","ethical hacking, cybersecurity",Cybersecurity Analyst
Candidate 176,38,Master's,"python, sql, machine learning, data visualization","data science, ai",Data Scientist
Candidate 177,37,PhD,"penetration testing, network security, firewalls, python","ethical hacking, cybersecurity",Cybersecurity Analyst
Candidate 178,25,Master's,"sql, data warehousing, big data, etl","big data, database management",Data Engineer
Candidate 179,28,Bachelor's,"mathematics, neural networks, tensorflow, deep learning","research, artificial intelligence",AI Researcher
Candidate 180,29,Bachelor's,"java, python, data structures, algorithms","tech innovation, software development",Software Engineer
Candidate 181,35,Bachelor's,"git, python, algorithms, rest apis","tech innovation, software development",Software Engineer
Candidate 182,35,Bachelor's,"kubernetes, ci, cd, docker, linux","infrastructure automation, cloud technologies",DevOps Engineer
Candidate 183,33,Bachelor's,"react, express, html, mongodb","creative coding, web development",Full Stack Developer
Candidate 184,36,Master's,"model deployment, scikit-learn, ml pipelines, python","machine learning, predictive analytics",Machine Learning Engineer
Candidate 185,38,PhD,"c++, git, rest apis, python","tech innovation, software development",Software Engineer
Candidate 186,39,Bachelor's,"scikit-learn, ml pipelines, python, tensorflow","machine learning, predictive analytics",Machine Learning Engineer
Candidate 187,33,PhD,"python, git, rest apis, c++","software development, tech innovation",Software Engineer
Candidate 188,32,Master's,"python, data warehousing, big data, spark","database management, big data",Data Engineer
Candidate 189,29,Master's,"ios, android, flutter, dart","mobile development, ux, ui design",Mobile App Developer
Candidate 190,22,Master's,"rest apis, c++, python, data structures","tech innovation, software development",Software Engineer
Candidate 191,36,Bachelor's,"siem, network security, python, firewalls","cybersecurity, ethical hacking",Cybersecurity Analyst
Candidate 192,27,Bachelor's,"node.js, javascript, css, react","web development, creative coding",Full Stack Developer
Candidate 193,24,Master's,"tensorflow, scikit-learn, model deployment, python","machine learning, predictive analytics",Machine Learning Engineer
Candidate 194,32,PhD,"network security, python, penetration testing, firewalls","cybersecurity, ethical hacking",Cybersecurity Analyst
Candidate 195,33,Bachelor's,"terraform, networking, devops, azure","cloud infrastructure, enterprise systems",Cloud Architect
Candidate 196,38,PhD,"pytorch, neural networks, mathematics, tensorflow","research, artificial intelligence",AI Researcher
Candidate 197,31,PhD,"java, flutter, android, react native","mobile development, ux, ui design",Mobile App Developer
Candidate 198,25,Bachelor's,"react native, ios, java, dart","ux, ui design, mobile development",Mobile App Developer
Candidate 199,28,Bachelor's,"tensorflow, python, scikit-learn, model deployment","machine learning, predictive analytics",Machine Learning Engineer
Candidate 200,34,Bachelor's,"networking, cloud security, azure, terraform","enterprise systems, cloud infrastructure",Cloud Architect
FinanceCandidate 1,35,Master's,"risk management, data analysis, financial modeling, statistics","risk evaluation, quantitative analysis",Risk Analyst
FinanceCandidate 2,44,PhD,"investment strategy, risk management, asset allocation, market analysis","investment strategies, capital markets",Portfolio Manager
